text,label
"<sent-1> article 98 (1) a manifestation of intention may be made by means of public notice if the person making it is unable to ascertain who the other party is or is unable to ascertain the whereabouts thereof.
(2) public notice as referred to in the preceding paragraph is effected by a notice being posted in the posting area of the relevant court and an indication that that posting has been made being published in the official gazette at least once, in accordance with the provisions of the code of civil procedure (act no. 109 of 1996) on service by publication; provided, however, that if the court finds it to be suitable, it may order that a notice be posted in the posting area of the city office, ward office, town hall, or any facility equivalent to these in lieu of the relevant information being published in the official gazette.
(3) a manifestation of intention by public notice is deemed to have reached the other party once two weeks have passed since the day when the relevant information was last published in the official gazette or once two weeks have passed since the day on which the relevant information started to be posted in lieu of being so published; provided, however, that the effect of a manifestation of intention having reached the other party does not arise if the person making it was negligent in not ascertaining the other party or the whereabouts thereof.
(4) if the person making a manifestation of intention is unable to ascertain who the other party is, the procedures involved in public notice are under the jurisdiction of the summary court that has jurisdiction over the locality where the person making the manifestation of intention is domiciled; if the person making a manifestation of intention is unable to ascertain the whereabouts of the other party, the procedures involved in public notice are under the jurisdiction of the summary court that has jurisdiction over the locality of the last known domicile of the other party.
(5) the court must have the person making a manifestation of intention prepay the expenses associated with a public notice.<sent-1> <sent-2> a wanted to send b a notice of intention to cancel the contract but did not know where b was, and the manifestation of intention to cancel was made by means of public notice. in this case, even if a was negligent in not knowing the whereabouts of b, the manifestation of intention to cancel made by a is effective.<sent-2>",0
"<sent-1> article 97 (1) a manifestation of intention becomes effective at the time notice thereof reaches the other party.
(2) if the other party prevents notice of a manifestation of intention from reaching them without a legitimate reason, the notice is deemed to have reached that party at the time it would have normally reached them.
(3) the effect of a manifestation of intention is not impaired even if the person making it dies, loses mental capacity, or becomes subject to restrictions on their legal capacity to act after having sent the notice.<sent-1> <sent-2> a died after sending b a notice to cancel the contract, and the notice subsequently reached b. in this case, the effect of a's manifestation of intention to cancel is not impaired.<sent-2>",1
"<sent-1> article 140 when a period is provided for in days, weeks, months, or years, the first day of the period is not included in the computation; provided, however, that this does not apply when the period commences at twelve midnight.<sent-1> <sent-2> if an agreement is made at 3:00 p.m. on may 16 of a given year that the obligation will be fulfilled within one week, the period commences at twelve midnight of the same day, which does not fall on sunday, holiday as provided in the act on national holidays, or any other holiday.<sent-2>",0
"<sent-1> article 143 (1) if a period is provided for in weeks, months, or years, the period is calculated in accordance to the calendar.
(2) if a period does not commence at the beginning of the week, month, or year, that period expires on the day immediately preceding the day which corresponds to the commencement day in the last week, month or year; provided, however, that if the period is provided for in months or years and the last month does not contain a corresponding day, the period expires on the last day of that month.<sent-1> <sent-2> if an agreement is made at 11:00 a.m. on july 12 of a given year that the obligation will be fulfilled within one month, the period expires at 12:00 p.m. on august 13 of the same year, both of which do not fall on sundays, holidays as provided in the act on national holidays, or any other holidays.<sent-2>",0
"<sent-1> article 139 when a period is provided for in hours, the period commences immediately at the specified time.<sent-1> <sent-2> if an agreement is made at 10:00 a.m. on june 3 of a given year that the obligation will be fulfilled within five hours,the period commences at 10:00 a.m. of the same day, which does not fall on sunday, holiday as provided in the act on national holidays, or any other holiday.<sent-2>",1
"<sent-1> article 143 (1) if a period is provided for in weeks, months, or years, the period is calculated in accordance to the calendar.
(2) if a period does not commence at the beginning of the week, month, or year, that period expires on the day immediately preceding the day which corresponds to the commencement day in the last week, month or year; provided, however, that if the period is provided for in months or years and the last month does not contain a corresponding day, the period expires on the last day of that month.<sent-1> <sent-2> if an agreement is made at 5:00 p.m. on january 30 of a non-leap year that the obligation would be fulfilled within one month, the period expires at 12:00 p.m. on february 28 of the same year, both of which do not fall on sundays, holidays as provided in the act on national holidays, or any other holidays.<sent-2>",1
"<sent-1> article 142 if the last day of a period falls on a sunday, a holiday as provided in the act on national holidays (act no. 178 of 1948), or any other holiday, only when it is customary not to do business on the relevant day, the period expires on the immediately following day.<sent-1> <sent-2> if the last day of the period provided by agreement falls on a sunday, and it is customary to do business on that sunday, the period expires on that day.<sent-2>",1
"<sent-1> article 150 (1) if a demand is made, the prescription period does not expire until six months have passed since the time of the demand.
(2) a second demand made during the postponement of expiry of the prescription period granted on the ground of the first demand does not have the effect of postponement of expiry of prescription period under the provisions of the preceding paragraph.<sent-1> <sent-2> if the obligee makes the second demand during the postponement of expiry of the prescription period granted on the ground of the first demand, the prescription period does not expire until six months have passed from the time of the second demand.<sent-2>",0
"<sent-1> article 149 if either of the following grounds exists, the prescription period does not expire until six months have passed from the time when the ground ceases to exist:
(i) provisional seizure; or
(ii) provisional disposition.<sent-1> <sent-2> when a provisional seizure of immovables has been made, a new period of the extinctive prescription of the preserved claim commences to run at the time when the provisional seizure is registered.<sent-2>",0
"<sent-1> article 147 (1) if any of the following grounds exists, the period of prescription does not expire until the ground ceases to exist (if the ground ceases to exist while the right remains undetermined by a final and binding judgment or anything that has the same effect as a final and binding judgment, until six months have passed from the time of cessation):
(i) demand by litigation;
(ii) demand for payment;
(iii) settlement referred to in article 275, paragraph (1) of the code of civil procedure or mediation under the civil conciliation act (act no. 222 of 1951) or the domestic relations case procedure act (act no. 52 of 2011); or
(iv) participation in bankruptcy proceeding, rehabilitation proceeding or reorganization proceeding.
(2) in the case referred to in the preceding paragraph, if a right is determined by a final and binding judgment or anything that has the same effect as a final and binding judgment, a new period of prescription commences to run at the time when the grounds set forth in the items of that paragraph cease to exist;<sent-1> <sent-2> if a demand by litigation was made and the lawsuit pertaining to the demand is subsequently terminated by withdrawal of the action, the period of prescription does not expire until six months have passed from the time of the termination.<sent-2>",1
"<sent-1> article 179 (1) if ownership and another real right on the same thing are acquired by the same person, the other real right is extinguished; provided, however, that this does not apply if that thing or the other real right is the object of the right of a third party.
(2) if a real right other than ownership and another right for which that real right is the object are acquired by the same person, the other right is extinguished. in this case, the provisions of the proviso to the preceding paragraph apply mutatis mutandis.
(3) the provisions of the preceding two paragraphs do not apply to possessory rights.<sent-1> <sent-2> in the case where a has created a first-ranked mortgage for b and a second-ranked mortgage for c on land x owned by a, and the mortgages were registered, even if c subsequently acquires land x by inheritance from a, the second-ranked mortgage will not be extinguished due to merger of rights.<sent-2>",0
"<sent-1> article 121 an act that has been rescinded is deemed void ab initio.<sent-1> <sent-2> after a sold land x owned by a to b, b resold land x to c, and each of them was registered as such. later, the sales contract between a and b was voided on the grounds that a was an adult ward. if c did not know without negligence that a was an adult ward, a may not claim that the ownership of land x belongs to a.<sent-2>",0
"<sent-1> article 96 (1) a manifestation of intention based on fraud or duress is voidable.
(2) if a third party commits a fraud inducing a first party to make a manifestation of intention to a second party, that manifestation of intention is voidable only if the second party knew or could have known that fact.
(3) the rescission of a manifestation of intention induced by fraud under the provisions of the preceding two paragraphs may not be duly asserted against a third party in good faith acting without negligence.<sent-1> <sent-2> after a sold land x owned by a to b, b resold land x to c, and each of them was registered as such. after that, a voided the sales contract with b on the ground of fraud. if c did not know without negligence that a's manifestation of intention to sell was induced by fraud, the acquisition of the ownership of land x is not impaired.<sent-2>",1
"<sent-1> article 281 (1) servitudes are transferred together with the ownership in the dominant land (meaning the land of a servitude holder, enjoying benefits from another person's land; the same applies hereinafter) as appurtenances thereof, and are subject of other rights that exist in relation to the dominant land; provided, however, that this does not apply if the act establishing the servitude provides otherwise.
(2) servitudes may neither be transferred nor made the subject of other rights apart from the dominant land.<sent-1> <sent-2> the person who has inherited the ownership of the dominant land alone also inherits the servitude on the land, unless otherwise provided in the act creating the servitude.<sent-2>",1
"<sent-1> article 201 (1) an action for maintenance of possession must be filed during the obstruction or within one year after the obstruction stops; provided, however, that if the possessed thing has been damaged due to construction work and either one year has passed from the time when the construction was started or the construction has been completed, the action may not be filed.
(2) an action for preservation of possession may be filed so long as the danger of obstruction exists. in this case, the provisions of the proviso to the preceding paragraph apply mutatis mutandis if the possessed thing is likely to be damaged by the construction work.
(3) an action for recovery of possession must be filed within one year from the time when a possessor was forcibly dispossessed.<sent-1> <sent-2> in the case where a has started construction work to develop residential land on land x owned by a, and a danger exists in the neighboring land due to the construction, b, who lives on land y can file an action for preservation of possession against a even if one year has passed since the start of construction, before the construction is completed.<sent-2>",0
"<sent-1> article 183 if an agent manifests the intention to thenceforward possess a thing under the agent's own possession on behalf of the principal, the principal thereby acquires the possessory rights.<sent-1> <sent-2> when a sells movable x in his possession to b, and manifests the intention to thenceforward possess x on behalf of b, b acquires the possessory rights of x.<sent-2>",1
"<sent-1> article 185 if it is assumed, due to the nature of the title, that a possessor does not have the intention to own, the nature of the possessor's possession does not change unless that possessor manifests the intention to own to the person that put the thing under that person's possession, or commences possession under a new title with an intention to own from that time.<sent-1> <sent-2> when b, who had been in possession of movable x by leasing them from their owner a, made an agreement with a to purchase x from a and transfer a's right of possession, b's possession is regarded as possession with the intention to own them.<sent-2>",1
"<sent-1> article 191 if a possessed thing has been lost or damaged due to grounds attributable to the possessor, a possessor in bad faith is liable to compensate the person recovering the thing for the entire loss or damage, and a possessor in good faith is liable to compensate that person for the loss or damage to the extent currently enriched as a result of that loss or damage; provided, however, that a possessor that is without the intention to own the thing must compensate the person for the entire loss or damage, even if the possessor has acted in good faith.<sent-1> <sent-2> if a leases movable x owned by b to c without permission, and then x is damaged due to grounds attributable to c, c who is asked by b to return x, must compensate for the entire loss or damage, even if c believed without negligence that a was the owner of x.<sent-2>",1
"<sent-1> article 256 (1) each co-owner may demand the partition of property in co-ownership at any time; provided, however, that this does not preclude concluding a contract agreeing not to partition that property for a period not exceeding five years.
(2) the contract under the proviso to the preceding paragraph may be renewed; provided, however, that the period thereof may not exceed five years from the time of the renewal.<sent-1> <sent-2> a co-owner of gold bullion may demand the partition of the movable property at any time, if the co-owners has not contracted not to partition.<sent-2>",1
"<sent-1> article 261 each co-owner provides the same warranty as that of a seller in proportion to each co-owner's interest, with regards to the thing other co-owners have acquired by the partition.<sent-1> <sent-2> each co-owner provides warranty in proportion to each co-owner’s interest, with regards to the thing other co-owners have acquired by the partition of the property in co-ownership.<sent-2>",1
"<sent-1> article 258 (1) if no agreement is reached among co-owners with respect to the partition of property in co-ownership, a request for partition of the same may be submitted to the court.
(2) in cases referred to in the preceding paragraph, if the property in co-ownership cannot be partitioned in kind, or it is likely that the value thereof will be significantly reduced by the partition, the court may order the sale of the same at auction.<sent-1> <sent-2> if, in a judicial decision seeking partition of property in co-ownership, the property in co-ownership cannot be partitioned in kind, or it is likely that the value thereof will be significantly reduced by the partition, the court shall order the sale of the same at auction.<sent-2>",0
<sent-1> article 300 the exercise of a right of retention does not preclude the running of extinctive prescription of claims.<sent-1> <sent-2> the extinctive prescription of the claim secured by the right of retention does not run while the holder of the right of retention exercises the right of retention and retains the subject matter.<sent-2>,0
"<sent-1> article 608 (1) if a lessee has defrayed necessary expenses with respect to the leased thing which ought to be borne by the lessor, the lessee may immediately demand the reimbursement of the same from the lessor.
(2) if the lessee has incurred beneficial expenses with respect to the leased thing, the lessor must reimburse those expenses on termination of the lease in compliance with the provisions of article 196, paragraph (2); provided, however, that the court may, at the lessor's request, grant a reasonable period of time for the reimbursement of the
article 295 (1) if a possessor of a thing belonging to another person has a claim that has arisen in relation to that thing, that possessor may retain that thing until that claim is satisfied; provided, however, that this does not apply if the relevant claim has not yet fallen due.
(2) the provisions of the preceding paragraph do not apply if possession commenced by means of a tortious act.<sent-1> <sent-2> in cases where a lessee of a building has exercised a right of retention to secure reimbursement of the beneficial expenses after the termination of the lease, the right of retention will be extinguished if the court grants a period of time for the reimbursement at the request of the lessor.<sent-2>",1
"<sent-1> article 298 (1) the holder of a right of retention must possess the thing retained with the due care of a prudent manager.
(2) the holder of the right of retention may not use, lease or provide as a security the thing retained unless that holder obtains the consent of the obligor; provided, however, that this does not apply to uses necessary for the preservation of that thing.
(3) if the holder of a right of retention violates the provisions of the preceding two paragraphs, the obligor may demand that the right of retention be terminated.
article 297 (1) a holder of a right of retention may collect fruits derived from the thing retained, and appropriate the same to the satisfaction of that holder's own claim before other obligees.
(2) the fruits referred to in the preceding paragraph must be appropriated first to the payment of interest on the claim, and any remainder must be appropriated to the satisfaction of the principal.<sent-1> <sent-2> the holder of the right of retention may, with the consent of the obligor, lease the thing retained to a third party and appropriate the rent thereof to the satisfaction of that holder’s own claim.<sent-2>",1
"<sent-1> article 355 if more than one pledge is created with respect to the same movables, the order of priority of those pledges follow the chronological order of their creation.
section 3 pledges of immovables<sent-1> <sent-2> a person may not create more than one pledge on the same movables.<sent-2>",0
"<sent-1> article 354 if the claim of a pledgee of movables is not satisfied, the pledgee may make a request to the court seeking the immediate appropriation of the thing pledged for the satisfaction of that claim in accordance with the evaluation of an appraiser only when there are reasonable grounds. in this case, the pledgee of movables must notify the obligor in advance of the request.<sent-1> <sent-2> when the secured claim is not satisfied, a pledgee of movables may request the court to immediately appropriate the thing pledged to satisfy the claim in accordance with the evaluation of an appraiser only if there are reasonable grounds.<sent-2>",1
<sent-1> article 345 a pledgee may not allow a pledgor to possess the thing pledged on behalf of the pledgee.<sent-1> <sent-2> a pledgee of movables may not have a pledgor possess the thing pledged on behalf of the pledgee.<sent-2>,1
"<sent-1> article 346 a pledges secures the principal, interest, penalties, expenses of enforcing the pledge, expense of preserving the thing pledged and the compensation of loss or damage arising from failure to perform obligations or latent defects in the thing pledged; provided, however, that this does not apply if the act establishing the pledge provides otherwise.<sent-1> <sent-2> when a pledgee of movables has the right to demand interest on the secured claim, a pledgee of movables may exercise the pledge solely with respect to the interest of the last two years before maturity.<sent-2>",0
"<sent-1> article 350 the provisions of articles 296 through 300 and those of article 304 apply mutatis mutandis to pledges.
article 299 (1) if the holder of a right of retention incurs necessary expenses with respect to the thing retained, that holder may have the owner reimburse the same.
(2) if the holder of a right of retention incurs beneficial expenses with respect to the thing retained, to the extent that there is currently an increase in value as a result of the same, that holder may have the expenses incurred or the increase in value reimbursed at the owner's choice; provided, however, that the court may, at the request of the owner, grant a reasonable period of time for the reimbursement of the same.<sent-1> <sent-2> even if a pledgee of movables paid necessary expenses for the thing pledged, the pledgee may not demand the reimbursement for the necessary expenses to the possessor.<sent-2>",0
"<sent-1> article 389 (1) if a building is constructed on a mortgaged land after the creation of a mortgage, the mortgagee may auction the building together with the land; provided, however, that the right of priority of that mortgagee may be exercised solely against the proceeds of the land.
(2) the provisions of the preceding paragraph do not apply if the owner of that building has rights with respect to the possession of the mortgaged land that may be duly asserted against the mortgagee.<sent-1> <sent-2> if a building is constructed on the land after a mortgage was placed on the land, the mortgagee may auction the building, which is unmortgaged, all at once with the land.<sent-2>",1
"<sent-1> article 418 if the obligee is negligent regarding the failure to perform the obligation or the occurrence or spreading of a damage caused thereby, the court determines the liability for compensation for loss or damage and the amount thereof by taking these elements into consideration.<sent-1> <sent-2> if the obligee is negligent regarding non-performance, the court may deny the responsibility of the compensation for loss or damage, taking into consideration the negligence by the obligee.<sent-2>",1
"<sent-1> article 417 unless a particular intention is manifested, the amount of the compensation for loss or damage is determined with reference to monetary value.<sent-1> <sent-2> the compensation for loss or damage due to non-performance may not be satisfied by any method other than the payment of the money.<sent-2>",0
"<sent-1> article 419 (1) the amount of the compensation for loss or damage for failure to perform an obligation to deliver money is determined with reference to the statutory interest rate as of the time when the obligor first assumes the responsibility for the delay; provided, however, that if the agreed-upon interest rate exceeds the statutory interest rate, the agreed-upon interest rate prevails.
(2) the obligee is not be required to prove loss or damage with respect to the compensation for loss or damage referred to in the preceding paragraph.
(3) the obligor may not raise the defense of force majeure with respect to the compensation for loss or damage referred to in paragraph (1).<sent-1> <sent-2> the obligor may not be exempted from the responsibility on the ground of force majeure with respect to the compensation for loss or damage for failure to perform the obligation of payment of the loan pursuant to the monetary loan agreement.<sent-2>",1
"<sent-1> article 416 (1) the purpose of the claim for compensation for the loss or damage for failure to perform an obligation is to have the obligor to pay the compensation for loss or damage which would ordinarily arise from the failure.
(2) the obligee may also claim the compensation for damage which has arisen from any special circumstances if the party did foresee, or should have foreseen, the circumstances.<sent-1> <sent-2> the obligee may claim the compensation for damage which has arisen from any special circumstances only if the party did foresee the circumstances.<sent-2>",0
"<sent-1> article 420 (1) the parties may agree on the amount of liquidated damages with respect to the failure to perform the obligation.
(2) the agreement on liquidated damages do not preclude the request for performance or the exercise of the cancellation right.
(3) a penalty is presumed to constitute liquidated damages.<sent-1> <sent-2> when there is an agreement on the amount of liquidated damages with respect to the failure to perform the obligation in lieu of the performance of the obligation, the exercise of the cancellation right on the ground of the non-performance may not be precluded even after the obligor offered to pay the amount of liquidated damage.<sent-2>",1
"<sent-1> article 420 (1) the parties may agree on the amount of liquidated damages with respect to the failure to perform the obligation.
(2) the agreement on liquidated damages do not preclude the request for performance or the exercise of the cancellation right.
(3) a penalty is presumed to constitute liquidated damages.<sent-1> <sent-2> the agreement on the penalty is presumed to be an agreement on payment of certain amount of money in addition to the compensation for the actual damage due to the non-performance.<sent-2>",0
"<sent-1> article 548-2 (1) in the following cases, a person making an agreement to conduct a standard transaction (meaning a transaction conducted by a specified person with an unspecified and large number of persons as the counterparties, in which the uniformity of the whole or part of the transaction is reasonable to both parties; the same applies hereinafter) (that agreement is referred to as an ""agreement on standard transaction"" in the following article) is deemed to have made an agreement on individual terms of the standard form contract (referring to a collection of provisions prepared by that specific person with the purpose of applying them as the terms of a contract for a standard transaction; the same applies hereinafter):
(i) if the person agrees to apply the standard terms of contract as the terms of contract; or
(ii) if the person that has prepared the standard terms of contract (hereinafter referred to as the ""preparer of the standard terms"") manifests to the counterparty the intention to apply the standard terms of contract as the terms of the contract in advance.
(2) notwithstanding the provisions of the preceding paragraph, the person is deemed not to have agreed to any provisions as referred to in that paragraph that restrict the rights or expand the duties of the counterparty and that are found, in light of the manner and circumstances of the standard transaction as well as the common sense in the transaction, to unilaterally prejudice the interests of the counterparty in violation of the fundamental principle prescribed in article 1, paragraph (2).
article 548-3 (1) a preparer of the standard terms that conducts or seeks to conduct a standard transaction must disclose the details of the standard terms of contract by a reasonable method without delay if the counterparty requests this within a reasonable period of time before or after an agreement on standard transaction is made; provided, however, that this does not apply if the preparer has already delivered to the counterparty a document that contains the standard terms of contract or provided the other party with an electronic or magnetic record that contains the same.
(2) the provisions of the preceding article do not apply if the preparer of the standard terms of contract refuses the request referred to in the preceding paragraph before an agreement on standard transaction is made; provided, however, that this does not apply if a temporary communication failure takes place or the preparer has a legitimate reason to refuse it.<sent-1> <sent-2> there is an agreement on the amount of liquidated damages with respect to the failure to perform the obligation in the standard terms of contract, and the counterparty of the preparer of the standard terms requested the disclosure of the details of the standard terms of contract before the a standard transaction. however, the agreement on standard transaction was made without the preparer of the standard terms disclosing the detail with no legitimate reasons.
in this case, the agreement on the amount of liquidated damages will not be deemed to be made.<sent-2>",1
"<sent-1> article 423 (1) an obligee may exercise the right of the obligor (hereinafter referred to as the ""subrogor's right"") when it is necessary to do so in order to preserve the obligee's own claim; provided, however, that this does not apply to rights which belong exclusively to and are personal to the obligor or rights which are immune from attachment.
(2) the obligee may not exercise the subrogor's right unless and until the obligee's claim becomes due; provided, however, that this does not apply to an act of preservation.
(3) the obligee may not exercise the subrogor's right if the obligee's claim is not enforceable by compulsory execution.<sent-1> <sent-2> the obligee may not exercise the right of the obligor, if the right is immune from attachment.<sent-2>",1
"<sent-1> article 423-5 even if the obligee exercises the subrogor's right, the obligor is not precluded from independently collecting or otherwise disposing of the subrogor's right. in such a case, the other party is not precluded from performing the obligation to the obligor with respect to the subrogor's right.<sent-1> <sent-2> the obligor may exercise subrogor's right even after the obligee notified that obligee had exercised the subrogor’s right.<sent-2>",1
"<sent-1> article 423-6 if the obligee files an action concerning the exercise of the subrogor's right, the obligee must give a notice of suit to the obligor without delay.<sent-1> <sent-2> if the obligee files an action concerning the exercise of the subrogor's right, the obligee must give a notice of suit to the obligor without delay.<sent-2>",1
"<sent-1> article 465-10 (1) if the principal obligor requests a person to give guarantee for an obligation to be assumed for business as the principal obligation or give revolving guarantee for an obligation to be assumed for business that is included in the scope of the principal obligation, the principal obligor must provide the person so requested with information concerning the following particulars:
(i) the status of assets, and income and expenditure;
(ii) whether the principal obligor has any obligation other than the principal obligation, and the amount and status of performance thereof; and
(iii) if the principal obligor has provided or seeks to provide any other security for the principal obligation, an indication of this and the details of the security.
(2) if, because the principal obligor fails to provide information concerning the particulars set forth in the items of the preceding paragraph or provides information that is factually inaccurate, the person requested to guarantee misunderstands these particulars and manifests the intention to offer or accept the offer of a guarantee contract based on the misunderstanding, the guarantor may rescind the guarantee contract if the obligee knew or could have known that the principal obligor failed to provide information concerning these particulars or provided information that was factually inaccurate.
(3) the provisions of the preceding two paragraphs do not apply if the person that gives guarantee is a corporation.<sent-1> <sent-2> suppose that the individual a guaranteed the obligation of b against c. if a seeks to give a guarantee for obligations arising from business of b as requested by b, b must provide a with information concerning the status of assets, and income and expenditure of b.<sent-2>",1
"<sent-1> article 458-3 (1) if the principal obligor has the benefit of time forfeits the benefit, the obligee must notify the guarantor to that effect within two months from the time when the obligee comes to know the principal obligor's forfeiture of the benefit.
(2) if the obligee fails to notify the guarantor as referred to in the preceding paragraph within the period referred to that paragraph, the obligee may not request the guarantor to perform the guarantee obligation for any delay damages that have accrued after the principal obligor is accelerated and becomes immediately due until the obligee notifies the guarantor pursuant to the provisions of that paragraph (excluding those that should have accrued even if the principal obligor maintains the benefit of time).
(3) the provisions of the preceding two paragraphs do not apply if the guarantor is a corporation.<sent-1> <sent-2> suppose that the individual a guaranteed the obligation of b against c. when b had the benefit of time and forfeited the benefit, c must notify a to that effect.<sent-2>",1
